Venue,Sports
Dignity Health Sports Park(Carson Sports Park),Main Stadium(Carson Stadium)
Archery,—N/a
Tennis Stadium(Carson Courts),Tennis
VELO Sports Center(Carson Velodrome),Track cycling
Track and Field Facility(Carson Field),Field hockey
Crypto.com Arena(DTLA Arena),Boxing (finals)
Dodger Stadium,Baseball
Grand Park,Athletics (race walking)
Los Angeles Convention Center,Fencing
Taekwondo,Taekwondo
Judo,Judo
Wrestling,Boccia
Table tennis,Table tennis
Peacock Theater,Boxing (preliminaries)
BMO Stadium(Exposition Park Stadium),Flag football
Lacrosse,—N/a
Galen Center,Badminton
Gymnastics (rhythmic),Wheelchair rugby
Los Angeles Memorial Coliseum,Athletics (track and field)
Opening/closing ceremonies,Closing ceremony
SoFi Stadium(2028 Stadium),Opening ceremony
Swimming,—N/a
Intuit Dome,Basketball (5x5)
Hollywood Park Studios,International Broadcast Center
NFL Los Angeles at Hollywood Park,Main Press Center
Long Beach Waterfront,Coastal rowing
Marathon swimming,—N/a
Long Beach Convention Center(Long Beach Target Shooting Hall),Shooting (target)
Long Beach Convention Center Lot(Long Beach Aquatics Center & Climbing Theater),Artistic swimming
Sport climbing,Paraclimbing
Long Beach Arena,Handball
Alamitos Beach,Beach volleyball
Belmont Veterans Memorial Pier,"Sailing (kiteboarding, windfoiling)"
Port of Los Angeles,"Sailing (dinghy, multihull, skiff)"
Long Beach Marine Stadium,Rowing
Canoeing (sprint),Paracanoe
Sepulveda BasinRecreation Area,Basketball (3x3)
BMX,—N/a
—N/a,TBA
Modern pentathlon,—N/a
Skateboarding,—N/a
Fairplex(Fairgrounds Cricket Stadium),Pomona
Honda Center,Anaheim
Industry Hills Mountain Bike Course,City of Industry
LA Clays Shooting Sports Park(Whittier Narrows Clay Shooting Center),South El Monte
Riviera Country Club,Golf
Rose Bowl,Pasadena
Rose Bowl Aquatics Center,Diving
Santa Anita Park,Arcadia
Trestles,San Clemente
UCLA student housing,Olympic Village & Training Center
Universal Studios Lot(Comcast Squash Center at Universal Studios),Universal City
Venice Beach,Athletics (marathon)
Road cycling,—N/a
Triathlon,Paratriathlon
Devon Park(OKC Softball Park),Oklahoma City
Riversport OKC(OKC Whitewater Center),Canoeing (slalom)
Etihad Park(New York Stadium),"New York City, New York"
ScottsMiracle-Gro Field(Columbus Stadium),"Columbus, Ohio"
Geodis Park(Nashville Stadium),"Nashville, Tennessee"
Energizer Park(St. Louis Stadium),"St. Louis, Missouri"
PayPal Park(San José Stadium),"San Jose, California"
Snapdragon Stadium(San Diego Stadium),"San Diego, California"
