Venue,Sports
Dignity Health Sports Park (Carson Sports Park),Rugby sevens
Dignity Health Sports Park (Carson Sports Park),Archery
Dignity Health Sports Park (Carson Sports Park),Tennis
Dignity Health Sports Park (Carson Sports Park),Track cycling
Dignity Health Sports Park (Carson Sports Park),Field hockey
Crypto.com Arena (DTLA Arena),Boxing (finals)
Crypto.com Arena (DTLA Arena),Gymnastics (artistic and trampolining)
Dodger Stadium,Baseball
Grand Park,Athletics (race walking)
Los Angeles Convention Center,Fencing
Los Angeles Convention Center,Taekwondo
Los Angeles Convention Center,Judo
Los Angeles Convention Center,Wrestling
Los Angeles Convention Center,Table tennis
Peacock Theater,Boxing (preliminaries)
Peacock Theater,Weightlifting
BMO Stadium (Exposition Park Stadium),Flag football
BMO Stadium (Exposition Park Stadium),Lacrosse
Galen Center,Badminton
Galen Center,Gymnastics (rhythmic)
Los Angeles Memorial Coliseum,Athletics (track and field)
Los Angeles Memorial Coliseum,Opening/closing ceremonies
SoFi Stadium (2028 Stadium),Opening ceremony
SoFi Stadium (2028 Stadium),Swimming
Intuit Dome,Basketball (5x5)
Hollywood Park Studios,International Broadcast Center
NFL Los Angeles at Hollywood Park,Main Press Center
Long Beach Waterfront,Coastal rowing
Long Beach Waterfront,Marathon swimming
Long Beach Convention Center (Long Beach Target Shooting Hall),Shooting (target)
Long Beach Convention Center Lot (Long Beach Aquatics Center & Climbing Theater),Artistic swimming
Long Beach Convention Center Lot (Long Beach Aquatics Center & Climbing Theater),Water polo
Long Beach Convention Center Lot (Long Beach Aquatics Center & Climbing Theater),Sport climbing
Long Beach Arena,Handball
Alamitos Beach,Beach volleyball
Belmont Veterans Memorial Pier,"Sailing (kiteboarding, windfoiling)"
Port of Los Angeles,"Sailing (dinghy, multihull, skiff)"
Long Beach Marine Stadium,Rowing
Long Beach Marine Stadium,Canoeing (sprint)
Sepulveda Basin Recreation Area,Basketball (3x3)
Sepulveda Basin Recreation Area,BMX
Sepulveda Basin Recreation Area,BMX
Sepulveda Basin Recreation Area,Modern pentathlon
Sepulveda Basin Recreation Area,Skateboarding
Fairplex (Fairgrounds Cricket Stadium),Cricket
Honda Center,Volleyball
Industry Hills Mountain Bike Course,Mountain biking
LA Clays Shooting Sports Park (Whittier Narrows Clay Shooting Center),Shooting (shotgun)
Riviera Country Club,Golf
Rose Bowl,Football (soccer) (finals)
Rose Bowl Aquatics Center,Diving
Santa Anita Park,Equestrian
Trestles,Surfing
UCLA student housing,Olympic Village & Training Center
Universal Studios Lot (Comcast Squash Center at Universal Studios),Squash
Venice Beach,Athletics (marathon)
Venice Beach,Road cycling
Venice Beach,Triathlon
Devon Park (OKC Softball Park),Softball
Riversport OKC (OKC Whitewater Center),Canoeing (slalom)
Etihad Park (New York Stadium),Football (soccer) (preliminaries)
ScottsMiracle-Gro Field (Columbus Stadium),Football (soccer) (preliminaries)
Geodis Park (Nashville Stadium),Football (soccer) (preliminaries)
Energizer Park (St. Louis Stadium),Football (soccer) (preliminaries)
PayPal Park (San José Stadium),Football (soccer) (preliminaries)
Snapdragon Stadium (San Diego Stadium),Football (soccer) (preliminaries)
